App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Paper flowers instructions§ART_AND_DESIGN§4.4§167§5.6M§50,000+§Free§0§Everyone§Art & Design§March 26, 2017§1.0§2.3 and up
Flipboard: News For Our Time§NEWS_AND_MAGAZINES§4.4§1284017§Varies with device§500,000,000+§Free§0§Everyone 10+§News & Magazines§August 3, 2018§Varies with device§Varies with device
issuu - Read Magazines, Catalogs, Newspapers.§NEWS_AND_MAGAZINES§4.4§74425§8.6M§1,000,000+§Free§0§Everyone§News & Magazines§July 18, 2018§5.14.0§4.0.3 and up
Flipboard: News For Our Time§NEWS_AND_MAGAZINES§4.4§1284017§Varies with device§500,000,000+§Free§0§Everyone 10+§News & Magazines§August 3, 2018§Varies with device§Varies with device
Fast News§NEWS_AND_MAGAZINES§4.4§84957§Varies with device§1,000,000+§Free§0§Everyone 10+§News & Magazines§January 13, 2018§Varies with device§Varies with device
World Newspapers§NEWS_AND_MAGAZINES§4.4§185884§7.5M§1,000,000+§Free§0§Mature 17+§News & Magazines§September 17, 2017§3.1.9§4.1 and up
News360: Personalized News§NEWS_AND_MAGAZINES§4.4§30722§Varies with device§1,000,000+§Free§0§Teen§News & Magazines§August 2, 2018§Varies with device§Varies with device
Flipboard: News For Our Time§NEWS_AND_MAGAZINES§4.4§1284018§Varies with device§500,000,000+§Free§0§Everyone 10+§News & Magazines§August 3, 2018§Varies with device§Varies with device
Yahoo! transit guide free timetable, operation information, transfer search§MAPS_AND_NAVIGATION§4.4§104800§22M§10,000,000+§Free§0§Everyone§Maps & Navigation§July 26, 2018§7.0.1§4.0 and up
乗換NAVITIME　Timetable & Route Search in Japan Tokyo§MAPS_AND_NAVIGATION§4.4§50459§Varies with device§5,000,000+§Free§0§Everyone§Maps & Navigation§July 26, 2018§Varies with device§Varies with device
GPS Navigation & Offline Maps Sygic§MAPS_AND_NAVIGATION§4.4§1421884§33M§50,000,000+§Free§0§Everyone§Maps & Navigation§July 26, 2018§17.4.11§4.0.3 and up
Map and Router Badge§MAPS_AND_NAVIGATION§4.4§3652§32M§500,000+§Free§0§Everyone§Maps & Navigation§July 25, 2018§4.8.1§4.1 and up
Speed Cameras Radar§MAPS_AND_NAVIGATION§4.4§18710§4.0M§1,000,000+§Free§0§Everyone§Maps & Navigation§August 3, 2018§3.2.2§4.0.3 and up
Gps Route Finder§MAPS_AND_NAVIGATION§4.4§652§3.4M§100,000+§Free§0§Everyone§Maps & Navigation§May 26, 2018§116§4.1 and up
Yandex.Trains§MAPS_AND_NAVIGATION§4.4§56471§Varies with device§5,000,000+§Free§0§Everyone§Maps & Navigation§July 31, 2018§Varies with device§Varies with device
hum app§MAPS_AND_NAVIGATION§4.4§10218§78M§1,000,000+§Free§0§Everyone§Maps & Navigation§July 31, 2018§5.072.1830.2§4.2 and up
Moovit: Bus Time & Train Time Live Info§MAPS_AND_NAVIGATION§4.4§617477§Varies with device§10,000,000+§Free§0§Everyone§Maps & Navigation§August 5, 2018§Varies with device§Varies with device
Angry Birds Classic§GAME§4.4§5565856§97M§100,000,000+§Free§0§Everyone§Arcade§May 24, 2018§7.9.3§4.1 and up
Netflix§FAMILY§4.4§5453997§Varies with device§100,000,000+§Free§0§Teen§Entertainment§July 31, 2018§Varies with device§Varies with device
Comptia A+ 220-901 & 220-902§FAMILY§4.4§174§5.7M§10,000+§Free§0§Everyone§Education§April 19, 2018§2.0.7§4.1 and up
The Tribez: Build a Village§FAMILY§4.4§1852384§Varies with device§10,000,000+§Free§0§Everyone§Simulation§July 13, 2018§9.3.6§4.0.3 and up
WhatsApp Messenger§COMMUNICATION§4.4§69109672§Varies with device§1,000,000,000+§Free§0§Everyone§Communication§August 3, 2018§Varies with device§Varies with device
Google Translate§TOOLS§4.4§5741684§Varies with device§500,000,000+§Free§0§Everyone§Tools§August 4, 2018§Varies with device§Varies with device
Basketball Stars§SPORTS§4.4§867920§45M§10,000,000+§Free§0§Everyone§Sports§July 14, 2018§1.16.2§4.0.3 and up
SuperCity: Build a Story§FAMILY§4.4§98324§70M§1,000,000+§Free§0§Everyone§Simulation§July 28, 2018§1.19.1§4.1 and up
Like A Boss§FAMILY§4.4§17069§94M§500,000+§Free§0§Everyone 10+§Role Playing§August 1, 2018§1.0.17.2§5.0 and up
Zombie Tsunami§GAME§4.4§4918776§Varies with device§100,000,000+§Free§0§Everyone 10+§Arcade§June 15, 2018§Varies with device§Varies with device
Tik Tok - including musical.ly§SOCIAL§4.4§5637451§59M§100,000,000+§Free§0§Teen§Social§August 3, 2018§8.0.0§4.1 and up
B612 - Beauty & Filter Camera§PHOTOGRAPHY§4.4§5276983§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 30, 2018§7.6.5§4.3 and up
BIGO LIVE - Live Stream§SOCIAL§4.4§2349421§39M§100,000,000+§Free§0§Teen§Social§July 27, 2018§4.1.0§4.0 and up
MORTAL KOMBAT X§GAME§4.4§3039889§18M§10,000,000+§Free§0§Mature 17+§Action§June 27, 2018§1.18.2§4.0 and up
Next Launcher 3D Theme Hit-B§PERSONALIZATION§4.4§83§8.6M§1,000+§Paid§$1.70§Everyone§Personalization§August 16, 2015§1.05§2.2 and up
Critical Ops§GAME§4.4§1397944§50M§10,000,000+§Free§0§Teen§Action§July 31, 2018§0.9.10.f96§4.4 and up
Candy Crush Saga§FAMILY§4.4§22419455§74M§500,000,000+§Free§0§Everyone§Casual§July 5, 2018§1.129.0.2§4.1 and up
CL Mobile - Classifieds for Craigslist§SHOPPING§4.4§27275§8.3M§1,000,000+§Free§0§Teen§Shopping§July 30, 2018§27500000§4.1 and up
Expert C Programming - Learn C Coding Easily§FAMILY§4.4§77§6.9M§5,000+§Free§0§Everyone§Education§January 5, 2018§1.1.9§5.0 and up
Hill Climb Racing§GAME§4.4§8921451§63M§100,000,000+§Free§0§Everyone§Racing§July 2, 2018§1.37.2§4.2 and up
Vector§GAME§4.4§3058687§89M§100,000,000+§Free§0§Everyone 10+§Arcade§July 18, 2016§1.2.0§4.0 and up
Dropbox§PRODUCTIVITY§4.4§1860844§61M§500,000,000+§Free§0§Everyone§Productivity§August 1, 2018§Varies with device§Varies with device
Dance School Stories - Dance Dreams Come True§FAMILY§4.4§91171§36M§1,000,000+§Free§0§Everyone§Role Playing§August 3, 2018§1.0.8§4.1 and up
Plants vs. Zombies FREE§FAMILY§4.4§4064868§69M§100,000,000+§Free§0§Everyone 10+§Strategy§July 6, 2018§2.2.00§4.1 and up
Car Parking Game 3D - Real City Driving Challenge§FAMILY§4.4§187892§40M§5,000,000+§Free§0§Everyone§Simulation§May 10, 2018§1.2.0§4.0 and up
eBay: Buy & Sell this Summer - Discover Deals Now!§SHOPPING§4.4§2788460§Varies with device§100,000,000+§Free§0§Teen§Shopping§July 30, 2018§Varies with device§Varies with device
Eventbrite - Discover popular events & nearby fun§FAMILY§4.4§63773§8.8M§5,000,000+§Free§0§Everyone§Entertainment§July 30, 2018§5.7.2§5.0 and up
Firefox Browser fast & private§COMMUNICATION§4.4§3075096§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 10, 2018§Varies with device§Varies with device
Lookout Security & Antivirus§TOOLS§4.4§951413§13M§100,000,000+§Free§0§Everyone§Tools§July 31, 2018§10.23.2-964159b§4.4 and up
World History Quick e-Book§FAMILY§4.4§1657§4.9M§100,000+§Free§0§Everyone§Education;Education§July 17, 2018§1.35§4.1 and up
ClassDojo§FAMILY§4.4§148536§59M§10,000,000+§Free§0§Everyone§Education;Education§August 3, 2018§4.21.1§4.1 and up
Flipkart Online Shopping App§SHOPPING§4.4§6003590§Varies with device§100,000,000+§Free§0§Teen§Shopping§August 2, 2018§Varies with device§Varies with device
Messenger Lite: Free Calls & Messages§COMMUNICATION§4.4§1429038§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 25, 2018§37.0.0.7.163§2.3 and up
F-Stop Gallery Pro§PHOTOGRAPHY§4.4§1302§58k§10,000+§Paid§$4.99§Everyone§Photography§August 5, 2015§3.2§2.2 and up
CTRL-F - Search the real world§PRODUCTIVITY§4.4§607§37M§50,000+§Free§0§Everyone§Productivity§July 24, 2016§1.1§4.0.3 and up
HumorCast - Authentic Weather§WEATHER§4.4§6495§40M§100,000+§Free§0§Teen§Weather§July 12, 2018§4.4.4§4.4 and up
RPG End of Aspiration F§FAMILY§4.4§20368§31M§500,000+§Free§0§Teen§Role Playing§December 15, 2016§3.0.0fr§2.3 and up
F-Sim Space Shuttle§FAMILY§4.4§5427§Varies with device§100,000+§Paid§$4.99§Everyone§Simulation§January 28, 2014§Varies with device§Varies with device
Convert degree Celsius to Fahrenheit or °F to °C§TOOLS§4.4§51§2.1M§5,000+§Free§0§Everyone§Tools§May 21, 2018§1.5.8§4.0 and up
PUBG MOBILE§GAME§4.4§3697174§36M§50,000,000+§Free§0§Teen§Action§July 24, 2018§0.7.0§4.3 and up
Google§TOOLS§4.4§8021623§Varies with device§1,000,000,000+§Free§0§Everyone§Tools§August 3, 2018§Varies with device§Varies with device
G-Switch 2§GAME§4.4§12683§19M§1,000,000+§Free§0§Everyone§Action§February 5, 2018§1.1§2.3 and up
Share G - Images Sharing - Wallpapers App§SOCIAL§4.4§120§2.3M§10,000+§Free§0§Teen§Social§October 5, 2017§1.0§4.0.3 and up
Offroad G-Class 2018§FAMILY§4.4§7715§28M§500,000+§Free§0§Everyone§Simulation§June 29, 2018§1.7§4.1 and up
Google Drive§PRODUCTIVITY§4.4§2728941§Varies with device§1,000,000,000+§Free§0§Everyone§Productivity§July 30, 2018§Varies with device§Varies with device
Car Driving Simulator Drift§GAME§4.4§19816§57M§1,000,000+§Free§0§Everyone§Racing§November 3, 2017§1.8.1§4.4 and up
Deaf - Hearing chat device H§COMMUNICATION§4.4§9§51k§500+§Paid§$3.99§Everyone§Communication§February 8, 2017§3.6§2.2 and up
صور حرف H§ART_AND_DESIGN§4.4§13§4.5M§1,000+§Free§0§Everyone§Art & Design§March 27, 2018§2.0§4.0.3 and up
RC City Police Heavy Traffic Racer§GAME§4.4§3250§27M§1,000,000+§Free§0§Everyone§Racing§July 19, 2018§1.2§4.0 and up
slither.io§GAME§4.4§5231553§Varies with device§100,000,000+§Free§0§Everyone§Action§November 14, 2017§Varies with device§2.3 and up
Where's My Water? Free§FAMILY§4.4§1372013§57M§100,000,000+§Free§0§Everyone§Puzzle;Brain Games§November 21, 2017§1.10.0§4.1 and up
I'm Ping Pong King :)§SPORTS§4.4§29864§40M§1,000,000+§Free§0§Everyone§Sports§July 26, 2018§2.5§4.1 and up
Textgram - write on photos§ART_AND_DESIGN§4.4§295237§Varies with device§10,000,000+§Free§0§Everyone§Art & Design§July 30, 2018§Varies with device§Varies with device
FollowMeter for Instagram§SOCIAL§4.4§90082§8.8M§1,000,000+§Free§0§Everyone§Social§May 22, 2018§2.44§4.1 and up
Jetpack Joyride§GAME§4.4§4637439§96M§100,000,000+§Free§0§Everyone 10+§Arcade§July 19, 2018§1.10.12§4.1 and up
Cut the Rope FULL FREE§FAMILY§4.4§2122705§49M§100,000,000+§Free§0§Everyone§Puzzle§July 5, 2018§3.7.2§4.1 and up
CIRCLE K§SHOPPING§4.4§9140§14M§500,000+§Free§0§Everyone§Shopping§July 31, 2018§5.9.0§4.4 and up
Sight Words Pre-K to Grade-3§FAMILY§4.4§1185§40M§100,000+§Free§0§Everyone§Educational;Education§June 17, 2018§1.5.1§4.1 and up
K PLUS§FINANCE§4.4§124324§Varies with device§10,000,000+§Free§0§Everyone§Finance§June 26, 2018§4.6.0§4.2 and up
Magic Tiles - TWICE Edition (K-Pop)§GAME§4.4§2351§62M§100,000+§Free§0§Everyone§Music§July 25, 2018§1009001§4.0 and up
K-9 Material (unofficial)§COMMUNICATION§4.4§64§4.5M§5,000+§Free§0§Teen§Communication§March 27, 2017§5.206§5.0 and up
Lie Detector Test Prank§FAMILY§4.4§222308§6.9M§10,000,000+§Free§0§Everyone§Entertainment§July 31, 2018§3.0.2§4.4 and up
Je Parle ANGLAIS - Apprendre l’anglais Audio cours§FAMILY§4.4§499§27M§100,000+§Free§0§Everyone§Education§March 13, 2018§2.4§4.0.3 and up
Mobizen Screen Recorder for SAMSUNG§VIDEO_PLAYERS§4.4§953894§37M§10,000,000+§Free§0§Everyone§Video Players & Editors§April 26, 2018§3.5.1.8§Varies with device
M-Files§BUSINESS§4.4§236§44M§10,000+§Free§0§Everyone§Business§June 26, 2018§3.1.1§4.4 and up
M Launcher -Marshmallow 6.0§PERSONALIZATION§4.4§37234§7.3M§1,000,000+§Free§0§Everyone§Personalization§March 22, 2018§1.4.9§4.1 and up
MakeupPlus - Your Own Virtual Makeup Artist§PHOTOGRAPHY§4.4§758780§53M§50,000,000+§Free§0§Everyone§Photography§August 3, 2018§4.0.55§4.0.3 and up
M3-X5-X6-M-İ3-İ8 RACİNG 2018§GAME§4.4§596§44M§100,000+§Free§0§Everyone§Arcade§February 12, 2017§1,01§4.0 and up
N Launcher - Nougat 7.0§PERSONALIZATION§4.4§32597§8.4M§1,000,000+§Free§0§Everyone§Personalization§May 24, 2018§1.5.2§4.1 and up
Tap N Pay§PRODUCTIVITY§4.4§253§8.2M§10,000+§Free§0§Everyone§Productivity§July 31, 2018§0.1.22§4.1 and up
Guns'n'Glory Premium§FAMILY§4.4§3570§21M§100,000+§Paid§$2.99§Everyone 10+§Strategy§September 22, 2017§1.8.1§2.3.3 and up
Guns'n'Glory§FAMILY§4.4§89947§22M§5,000,000+§Free§0§Everyone 10+§Strategy§February 9, 2018§1.8.2§4.0 and up
Knights N Squires§FAMILY§4.4§148826§49M§1,000,000+§Free§0§Teen§Role Playing§June 19, 2018§1.4.9§4.0.3 and up
Opera Browser: Fast and Secure§COMMUNICATION§4.4§2473795§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 31, 2018§47.1.2249.129326§Varies with device
O Launcher 8.0 for Android™ O Oreo Launcher§TOOLS§4.4§11393§8.7M§1,000,000+§Free§0§Everyone§Tools§July 27, 2018§3.9§4.4 and up
Opera Mini browser beta§COMMUNICATION§4.4§401530§Varies with device§10,000,000+§Free§0§Everyone§Communication§August 3, 2018§Varies with device§Varies with device
Stand O’Food® (Full)§FAMILY§4.4§925§40M§10,000+§Paid§$1.99§Everyone§Casual§December 26, 2014§1.5§2.3.3 and up
OO Launcher for Android O 8.0 Oreo™ Launcher§PERSONALIZATION§4.4§14832§8.6M§1,000,000+§Free§0§Everyone§Personalization§August 3, 2018§4.6§4.0 and up
O-Star§DATING§4.4§59§38M§5,000+§Free§0§Everyone§Dating§July 19, 2018§1.0.1§4.3 and up
P Icon Pack for Pixel§PERSONALIZATION§4.4§38§51M§1,000+§Free§0§Everyone§Personalization§May 6, 2018§1.0.3§4.1 and up
[substratum] Vacuum: P§PERSONALIZATION§4.4§230§11M§1,000+§Paid§$1.49§Everyone§Personalization§July 20, 2018§4.4§NaN
Super P Launcher for Android P 9.0 launcher, theme§TOOLS§4.4§2026§7.5M§100,000+§Free§0§Everyone§Tools§August 3, 2018§1.9§4.0 and up
Theme Android P Black design for LG V30§PERSONALIZATION§4.4§8§6.2M§100+§Paid§$1.49§Everyone§Personalization§April 6, 2018§1.1§7.0 and up
P XPERIA Theme™ | Design For SONY 🎨§PERSONALIZATION§4.4§147§16M§10,000+§Free§0§Everyone§Personalization§May 28, 2018§1.0.0§4.4 and up
"\"Official QR Code® Reader \"\"Q\"\"\""§PRODUCTIVITY§4.4§3031§Varies with device§500,000+§Free§0§Everyone§Productivity§March 23, 2018§Varies with device§Varies with device
FaceQ§FAMILY§4.4§591411§19M§10,000,000+§Free§0§Teen§Entertainment§May 16, 2017§3.4.1§3.0 and up
Q Avatar (Avatar Maker)§COMICS§4.4§2012§3.6M§100,000+§Free§0§Everyone§Comics§March 4, 2017§1.3.5§2.3 and up
ICQ — Video Calls & Chat Messenger§COMMUNICATION§4.4§697939§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 18, 2018§7.3(823181)§4.4 and up
Big Q Car Service§MAPS_AND_NAVIGATION§4.4§75§26M§5,000+§Free§0§Everyone§Maps & Navigation§May 15, 2017§3.002§4.0.3 and up
DataCamp - Learn R, Python & SQL§FAMILY§4.4§944§12M§100,000+§Free§0§Everyone§Education§August 1, 2018§3.1.0§4.1 and up
GT-R R35 Drift Simulator§FAMILY§4.4§1852§62M§100,000+§Free§0§Everyone§Simulation§October 31, 2017§1.0§2.3 and up
Offroad Pickup Truck R§FAMILY§4.4§6367§96M§1,000,000+§Free§0§Everyone§Simulation§July 14, 2017§1.4§2.3 and up
S Photo Editor - Collage Maker , Photo Collage§PHOTOGRAPHY§4.4§972574§45M§100,000,000+§Free§0§Everyone§Photography§August 3, 2018§2.31§4.1 and up
S S9 Launcher - Galaxy S8/S9 Launcher, theme, cool§TOOLS§4.4§22503§6.5M§1,000,000+§Free§0§Everyone§Tools§July 6, 2018§4.1§4.1 and up
Tumblr§SOCIAL§4.4§2953886§Varies with device§100,000,000+§Free§0§Mature 17+§Social§August 1, 2018§Varies with device§Varies with device
Telegram§COMMUNICATION§4.4§3128611§Varies with device§100,000,000+§Free§0§Mature 17+§Communication§July 27, 2018§Varies with device§Varies with device
Don't Starve: Pocket Edition§GAME§4.4§17988§7.9M§100,000+§Paid§$4.99§Teen§Adventure§July 25, 2018§1.06§5.0 and up
Please, Don't Touch Anything§FAMILY§4.4§1771§46M§10,000+§Paid§$4.99§Teen§Puzzle§April 20, 2016§1.1.0§2.3 and up
UC Browser Mini -Tiny Fast Private & Secure§COMMUNICATION§4.4§3648765§3.3M§100,000,000+§Free§0§Teen§Communication§July 18, 2018§11.4.0§4.0 and up
Waiting For U Launcher Theme§PERSONALIZATION§4.4§5599§4.8M§500,000+§Free§0§Everyone§Personalization§July 23, 2016§2.0.40§2.3 and up
Berlin Subway – BVG U-Bahn & S-Bahn map and routes§MAPS_AND_NAVIGATION§4.4§509§17M§100,000+§Free§0§Everyone§Maps & Navigation§June 6, 2018§1.0.7§5.0 and up
V LIVE - Star Live App§FAMILY§4.4§397147§Varies with device§10,000,000+§Free§0§Teen§Entertainment§August 2, 2018§Varies with device§Varies with device
VLC for Android§VIDEO_PLAYERS§4.4§1031045§Varies with device§100,000,000+§Free§0§Everyone§Video Players & Editors§July 30, 2018§Varies with device§2.3 and up
Weather & Clock Widget for Android§WEATHER§4.4§2371543§11M§50,000,000+§Free§0§Everyone§Weather§June 4, 2018§5.9.4.0§4.0.3 and up
WhatsApp Business§COMMUNICATION§4.4§137144§32M§10,000,000+§Free§0§Everyone§Communication§July 30, 2018§2.18.116§4.0.3 and up
WowBox§LIFESTYLE§4.4§101957§8.2M§5,000,000+§Free§0§Everyone§Lifestyle§April 23, 2018§2.11.0§4.0.3 and up
Zaatar w Zeit§FOOD_AND_DRINK§4.4§205§33M§50,000+§Free§0§Everyone§Food & Drink§July 1, 2018§2.2.2§4.4 and up
WPSApp§TOOLS§4.4§95080§3.1M§10,000,000+§Free§0§Everyone§Tools§August 3, 2018§1.6.22§4.1 and up
TripAdvisor Hotels Flights Restaurants Attractions§TRAVEL_AND_LOCAL§4.4§1162331§Varies with device§100,000,000+§Free§0§Everyone§Travel & Local§August 4, 2018§Varies with device§Varies with device
Share Music & Transfer Files - Xender§TOOLS§4.4§1279109§Varies with device§100,000,000+§Free§0§Everyone§Tools§July 20, 2018§Varies with device§Varies with device
Lock Screen Phone X Style OS 11§TOOLS§4.4§1166§13M§100,000+§Free§0§Everyone§Tools§March 26, 2018§8.8§4.3 and up
Slendrina X§GAME§4.4§12736§56M§1,000,000+§Free§0§Teen§Arcade§December 18, 2017§1.02§4.0 and up
YouTube TV - Watch & Record Live TV§FAMILY§4.4§38517§17M§1,000,000+§Free§0§Teen§Entertainment§August 2, 2018§2.29.2§5.0 and up
Boomerang Make and Race§FAMILY§4.4§281448§70M§10,000,000+§Free§0§Everyone§Racing;Action & Adventure§June 1, 2018§1.5.0§4.0 and up
Talking Tom & Ben News§FAMILY§4.4§1131937§41M§100,000,000+§Free§0§Everyone§Entertainment§April 30, 2018§2.4.0.7§4.1 and up
Rope Hero 3§GAME§4.4§45871§99M§5,000,000+§Free§0§Teen§Action§May 8, 2017§1.6§2.3 and up
GO Keyboard - Emoticon keyboard, Free Theme, GIF§PERSONALIZATION§4.4§2591610§Varies with device§100,000,000+§Free§0§Everyone§Personalization§July 20, 2018§Varies with device§Varies with device
NQ Mobile Security & Antivirus§PRODUCTIVITY§4.4§427185§Varies with device§10,000,000+§Free§0§Teen§Productivity§June 8, 2018§Varies with device§Varies with device
Zello PTT Walkie Talkie§SOCIAL§4.4§695576§Varies with device§50,000,000+§Free§0§Everyone§Social§August 2, 2018§Varies with device§Varies with device
Z Camera - Photo Editor, Beauty Selfie, Collage§PHOTOGRAPHY§4.4§1075016§47M§100,000,000+§Free§0§Mature 17+§Photography§August 3, 2018§4.21§4.1 and up
Saiyan Z: Super SSJ Ultimate Combat§GAME§4.4§306§61M§10,000+§Free§0§Everyone§Adventure§April 18, 2018§2.0.2§4.0 and up
Angry Birds Rio§GAME§4.4§2610328§46M§100,000,000+§Free§0§Everyone§Arcade§July 3, 2018§2.6.9§4.1 and up
A-B repeater§VIDEO_PLAYERS§4.4§32§239k§5,000+§Free§0§Everyone§Video Players & Editors§May 18, 2018§1.8§3.0 and up
Daily Ab Workout - Core & Abs Fitness Exercises§HEALTH_AND_FITNESS§4.4§44939§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§June 14, 2018§Varies with device§Varies with device
Free Adblocker Browser - Adblock & Popup Blocker§COMMUNICATION§4.4§152470§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 19, 2018§Varies with device§Varies with device
FVD Ad-Free§TOOLS§4.4§1774§4.1M§10,000+§Paid§$1.99§Everyone§Tools§October 5, 2017§4.4.3§3.0 and up
Vpn Hosts (ad blocker & no root & support ipv6 )§TOOLS§4.4§319§1.1M§10,000+§Paid§$2.99§Everyone§Tools§July 3, 2018§2.0.1§4.4 and up
Digital Clock : Simple, Tiny, Ad-free Desk Clock.§LIFESTYLE§4.4§317§74k§50,000+§Free§0§Everyone§Lifestyle§December 21, 2016§3.0§2.3 and up
RAM Cleanup Ad-Free Option§TOOLS§4.4§457§1.1M§10,000+§Paid§$2.99§Everyone§Tools§July 26, 2016§3.0§4.1 and up
AE Bingo: Offline Bingo Games§GAME§4.4§61746§Varies with device§500,000+§Free§0§Teen§Casino§September 30, 2016§Varies with device§2.3.3 and up
AE Roundy POP§FAMILY§4.4§5262§26M§100,000+§Free§0§Everyone§Casual§March 23, 2016§1.1.2§2.3 and up
AE Garage§AUTO_AND_VEHICLES§4.4§64§66M§1,000+§Free§0§Everyone§Auto & Vehicles§June 27, 2017§1.0§4.1 and up
FilmoraGo - Free Video Editor§VIDEO_PLAYERS§4.4§238459§35M§10,000,000+§Free§0§Everyone§Video Players & Editors§June 6, 2018§3.1.4§4.2 and up
AE Fishing Hunter§GAME§4.4§14§6.6M§1,000+§Free§0§Everyone§Adventure§March 15, 2016§0.0.3§3.0 and up
iFunny :)§FAMILY§4.4§503757§Varies with device§10,000,000+§Free§0§Mature 17+§Entertainment§August 2, 2018§Varies with device§Varies with device
ASUS PixelMaster Camera§PHOTOGRAPHY§4.4§626366§Varies with device§10,000,000+§Free§0§Everyone§Photography§June 29, 2016§Varies with device§Varies with device
AppLock§TOOLS§4.4§4931562§Varies with device§100,000,000+§Free§0§Everyone§Tools§June 11, 2018§Varies with device§Varies with device
AG Subway Simulator Lite§FAMILY§4.4§6738§56M§100,000+§Free§0§Everyone§Simulation§June 8, 2018§1.2.6§4.1 and up
Virtual Assistant DataBot: Artificial Intelligence§FAMILY§4.4§80927§27M§1,000,000+§Free§0§Everyone§Entertainment§July 31, 2018§7.2.5§4.0 and up
Extreme- Personal Voice Assistant§PRODUCTIVITY§4.4§25627§9.8M§1,000,000+§Free§0§Everyone§Productivity§August 5, 2018§132§5.0 and up
Friday: Smart Personal Assistant§PRODUCTIVITY§4.4§2087§8.3M§100,000+§Free§0§Everyone§Productivity§June 24, 2018§20§5.0 and up
Virtual Eye AI§TOOLS§4.4§26§3.8M§500+§Free§0§Everyone§Tools§May 27, 2018§1.2§4.0 and up
AI with Python Tutorial§FAMILY§4.4§8§3.3M§5,000+§Free§0§Everyone§Education§June 5, 2018§1.0.4§4.1 and up
Adobe Illustrator Draw§PHOTOGRAPHY§4.4§65766§Varies with device§5,000,000+§Free§0§Everyone§Photography§April 2, 2018§3.4.23§5.0 and up
FaceApp§PHOTOGRAPHY§4.4§346681§7.1M§10,000,000+§Free§0§Everyone§Photography§February 10, 2018§2.0.949§4.4 and up
AJ Jump: Animal Jam Kangaroos!§GAME§4.4§2975§42M§50,000+§Paid§$1.99§Everyone§Arcade§March 7, 2016§1.6§4.0 and up
Tunnel Town§FAMILY§4.4§74744§60M§1,000,000+§Free§0§Everyone§Strategy§July 26, 2018§1.5.6§4.1 and up
AJ Percent Off Calculator§SHOPPING§4.4§134§45k§10,000+§Free§0§Everyone§Shopping§June 4, 2013§1.2§2.2 and up
How it works: AK-74N§FAMILY§4.4§1031§48M§100,000+§Free§0§Everyone§Entertainment§January 9, 2018§2.1.9f0§4.0.3 and up
AK Phone§COMMUNICATION§4.4§9§4.2M§5,000+§Free§0§Everyone§Communication§May 29, 2017§3.8.8§2.2 and up
GUN ZOMBIE§GAME§4.4§243121§38M§5,000,000+§Free§0§Teen§Arcade§October 17, 2014§5.3§2.3 and up
Alabama Road Trips§TRAVEL_AND_LOCAL§4.4§71§28M§10,000+§Free§0§Everyone§Travel & Local§October 27, 2017§1.8.7§4.0 and up
I Am Rich Pro§FAMILY§4.4§201§2.7M§5,000+§Paid§$399.99§Everyone§Entertainment§May 30, 2017§1.54§1.6 and up
I Am Innocent§GAME§4.4§208501§56M§1,000,000+§Free§0§Teen§Adventure§July 23, 2018§2.8.307§4.0.3 and up
My Boo - Your Virtual Pet Game§FAMILY§4.4§899748§80M§10,000,000+§Free§0§Everyone§Casual§August 3, 2018§2.11§4.1 and up
THE KING OF FIGHTERS-A 2012(F)§GAME§4.4§406511§21M§5,000,000+§Free§0§Teen§Action§October 21, 2016§1.0.5§4.0.3 and up
Resume Builder Free, 5 Minute CV Maker & Templates§BUSINESS§4.4§72202§6.7M§1,000,000+§Free§0§Everyone§Business§June 25, 2018§6.0§4.0.3 and up
Arena of Valor: 5v5 Arena Game§GAME§4.4§438911§99M§10,000,000+§Free§0§Teen§Action§June 28, 2018§1.23.1.2§4.0.3 and up
PES 2018 PRO EVOLUTION SOCCER§SPORTS§4.4§1721943§26M§10,000,000+§Free§0§Everyone§Sports§June 27, 2018§2.3.2§5.0 and up
Mobile Legends: Bang Bang§GAME§4.4§8219586§99M§100,000,000+§Free§0§Teen§Action§July 24, 2018§1.2.97.3042§4.0.3 and up
Kill Shot Bravo: Sniper FPS§GAME§4.4§579519§99M§10,000,000+§Free§0§Mature 17+§Action§July 18, 2018§5.1§4.1 and up
DINO HUNTER: DEADLY SHORES§GAME§4.4§1381624§54M§10,000,000+§Free§0§Teen§Action§March 14, 2017§3.1.1§3.0 and up
GUYZ - Gay Chat & Gay Dating§SOCIAL§4.4§41269§Varies with device§1,000,000+§Free§0§Mature 17+§Social§May 10, 2017§1.3.6.4§4.0.3 and up
AP Biology Study Guide + Quiz§FAMILY§4.4§105§9.0M§10,000+§Free§0§Everyone§Education§March 22, 2016§1.5.1§4.1 and up
AP Physics 1 Prep: Practice Tests and Flashcards§FAMILY§4.4§29§5.3M§5,000+§Free§0§Everyone§Education§July 3, 2018§1.6.7.1§4.1 and up
True Skate§SPORTS§4.4§129409§73M§1,000,000+§Paid§$1.99§Everyone§Sports§August 4, 2018§1.5.1§4.0.3 and up
