App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Pixel Draw - Number Art Coloring Book§ART_AND_DESIGN§4.3§967§2.8M§100,000+§Free§0§Everyone§Art & Design;Creativity§June 20, 2018§1.1§4.4 and up
Badoo - Free Chat & Dating App§SOCIAL§4.3§3781467§Varies with device§100,000,000+§Free§0§Mature 17+§Social§August 2, 2018§Varies with device§Varies with device
Beck & Bo: Toddler First Words§FAMILY§4.3§41§7.9M§1,000+§Paid§$2.99§Everyone§Education;Pretend Play§May 31, 2018§2.4.2§4.0.3 and up
Skater Boy§GAME§4.3§1167143§12M§100,000,000+§Free§0§Everyone§Arcade§September 20, 2017§1.18.35§4.1 and up
Bo's Dinnertime Story§FAMILY§4.3§6§33M§1,000+§Paid§$2.49§Everyone§Education;Pretend Play§December 25, 2017§1.5§4.0.3 and up
Wishbone - Compare Anything§SOCIAL§4.3§51569§26M§1,000,000+§Free§0§Teen§Social§July 30, 2018§5.4.7§4.1 and up
Power Spheres by BoBoiBoy§FAMILY§4.3§70903§51M§5,000,000+§Free§0§Everyone§Puzzle;Brain Games§May 3, 2018§1.3.20§4.0.3 and up
Blood Pressure Monitor§MEDICAL§4.3§17§6.0M§10,000+§Free§0§Everyone§Medical§February 25, 2017§1.0.1§4.4 and up
BP Tracker§HEALTH_AND_FITNESS§4.3§12§613k§1,000+§Free§0§Everyone§Health & Fitness§February 20, 2016§1.0.0§5.0 and up
High Blood Pressure Symptoms§MEDICAL§4.3§46§2.0M§10,000+§Free§0§Everyone§Medical§April 5, 2017§1.0.2§4.0.3 and up
System Update Free§TOOLS§4.3§3068§6.0M§100,000+§Free§0§Everyone§Tools§July 20, 2018§11.1§4.0 and up
Camera MX - Free Photo & Video Camera§PHOTOGRAPHY§4.3§244302§Varies with device§10,000,000+§Free§0§Everyone§Photography§July 5, 2018§Varies with device§Varies with device
Free antivirus and VPN§TOOLS§4.3§27749§16M§1,000,000+§Free§0§Everyone§Tools§July 19, 2018§3.3.6§4.0.3 and up
Infinity Dungeon VIP§FAMILY§4.3§21804§44M§1,000,000+§Paid§$0.99§Everyone 10+§Role Playing§July 3, 2018§2.6.6§2.3 and up
Carros Rebaixados BR§GAME§4.3§20691§89M§1,000,000+§Free§0§Everyone§Racing§July 31, 2018§5.7.1§4.4 and up
CJ - BR MEMES§COMICS§4.3§109§3.5M§10,000+§Free§0§Everyone§Comics§January 18, 2018§1.0§4.0.3 and up
Next Portuguese(BR) Langpack§TOOLS§4.3§1320§778k§100,000+§Free§0§Everyone§Tools§September 13, 2013§1.0§2.0 and up
iPlayIT for YouTube VR Player§VIDEO_PLAYERS§4.3§5879§Varies with device§1,000,000+§Free§0§Teen§Video Players & Editors§June 12, 2018§Varies with device§4.1 and up
BSPlayer FREE§VIDEO_PLAYERS§4.3§138337§Varies with device§10,000,000+§Free§0§Everyone§Video Players & Editors§April 3, 2018§Varies with device§Varies with device
BSPlayer ARMv7 VFP CPU support§VIDEO_PLAYERS§4.3§9966§5.5M§1,000,000+§Free§0§Everyone§Video Players & Editors§March 31, 2017§1.23§2.1 and up
BS Battery+§TOOLS§4.3§269§647k§50,000+§Free§0§Everyone§Tools§August 18, 2012§4.0.1§2.0 and up
Love Signal: D-Mate§FAMILY§4.3§1895§72M§50,000+§Free§0§Everyone§Simulation§February 27, 2018§1.0.1§4.4 and up
BT Panorama§FINANCE§4.3§34§Varies with device§5,000+§Free§0§Everyone§Finance§June 14, 2017§Varies with device§Varies with device
SenseView BT Zephyr Sensor§TOOLS§4.3§37§323k§5,000+§Free§0§Everyone§Tools§May 15, 2015§1.1.15205§2.2 and up
Kick the Buddy§GAME§4.3§1004709§Varies with device§50,000,000+§Free§0§Teen§Action§July 5, 2018§Varies with device§4.4 and up
Bubble Witch 2 Saga§FAMILY§4.3§2838064§Varies with device§100,000,000+§Free§0§Everyone§Casual§August 6, 2018§Varies with device§Varies with device
BV Smart§BUSINESS§4.3§28§3.4M§1,000+§Free§0§Everyone§Business§May 1, 2015§1.1§4.0 and up
Smashy Road: Arena§GAME§4.3§45558§53M§5,000,000+§Free§0§Everyone 10+§Action§May 24, 2018§1.1.9§4.1 and up
HD Widgets§PERSONALIZATION§4.3§58614§26M§1,000,000+§Paid§$0.99§Everyone§Personalization§December 7, 2016§4.3.2§4.4 and up
Kromium BW Theme for NEXT§PERSONALIZATION§4.3§1098§18M§50,000+§Free§0§Everyone§Personalization§October 11, 2014§1.0.1§3.0 and up
BX Memo§FAMILY§4.3§131§2.0M§5,000+§Free§0§Everyone§Education§November 17, 2016§3.3.1§2.2 and up
Bixby Button Remapper - bxActions§TOOLS§4.3§13064§4.6M§1,000,000+§Free§0§Everyone§Tools§May 23, 2018§4.72§7.0 and up
bX Hot Articles by Ex Libris§FAMILY§4.3§42§554k§5,000+§Free§0§Everyone§Education§May 9, 2017§2§2.2 and up
Super Jabber Jump§GAME§4.3§85882§23M§10,000,000+§Free§0§Everyone§Arcade§November 7, 2017§6.6.3106§2.3 and up
World of Warriors: Duel§GAME§4.3§25952§36M§500,000+§Free§0§Everyone 10+§Action§September 7, 2015§1.1.2§2.3 and up
Car Race by Fun Games For Free§GAME§4.3§54221§47M§1,000,000+§Free§0§Everyone§Racing§June 15, 2013§1.2§2.3 and up
Adult Color by Number Book - Paint Mandala Pages§FAMILY§4.3§997§Varies with device§100,000+§Free§0§Everyone§Entertainment§June 27, 2018§2.4§4.1 and up
3D Color by Number: Voxel, Unicorn, Pixel Art 3D§FAMILY§4.3§2017§Varies with device§100,000+§Free§0§Everyone§Entertainment§February 16, 2018§2.4§4.1 and up
Fiesta by Tango - Find, Meet and Make New Friends§SOCIAL§4.3§112223§34M§1,000,000+§Free§0§Mature 17+§Social§July 5, 2018§5.68.1§5.0 and up
BZ-Smart§NEWS_AND_MAGAZINES§4.3§828§8.2M§10,000+§Free§0§Everyone§News & Magazines§October 10, 2017§1.98§2.3.3 and up
BZ Straußenführer§TRAVEL_AND_LOCAL§4.3§291§14M§10,000+§Free§0§Everyone§Travel & Local§March 17, 2016§1.2.3§4.0 and up
Viking CB Radios§BUSINESS§4.3§6§15M§1,000+§Free§0§Everyone§Business§May 24, 2017§1.0.1§4.1 and up
CD COMET§MAPS_AND_NAVIGATION§4.3§12§2.6M§100+§Free§0§Everyone§Maps & Navigation§August 4, 2018§4.0§4.1 and up
Grim Tales: The Wishes CE§GAME§4.3§4923§20M§100,000+§Free§0§Everyone 10+§Adventure§August 26, 2015§1.0.0§2.3.3 and up
Depths of Betrayal CE (Full)§FAMILY§4.3§363§14M§1,000+§Paid§$2.99§Everyone 10+§Casual§August 19, 2013§1.0.0§2.3 and up
CrossFire: Legends§GAME§4.3§144040§29M§5,000,000+§Free§0§Teen§Action§July 25, 2018§1.0.9.10§4.0 and up
CF cal§TOOLS§4.3§123§2.9M§10,000+§Free§0§Everyone§Tools§February 9, 2016§1.0.6§4.0 and up
CF GeneE§MEDICAL§4.3§16§40M§1,000+§Free§0§Everyone§Medical§May 31, 2018§5.0.0§4.0 and up
CG Creative Sets: 2D/3D Artist§NEWS_AND_MAGAZINES§4.3§117§5.0M§10,000+§Free§0§Everyone§News & Magazines§June 22, 2016§3.1§4.0.3 and up
CG Daily News§NEWS_AND_MAGAZINES§4.3§65§3.5M§10,000+§Free§0§Everyone§News & Magazines§April 29, 2018§8.2§4.0.3 and up
CG Sanyukt Bharti Pariksha 2018§FAMILY§4.3§14§4.3M§1,000+§Free§0§Teen§Education§January 10, 2018§7.4§2.3 and up
Naidunia: MP News & CG News§NEWS_AND_MAGAZINES§4.3§2746§8.7M§100,000+§Free§0§Everyone§News & Magazines§April 9, 2018§3.2§4.1 and up
OurHome – chores, rewards, groceries and calendar§FAMILY§4.3§3146§Varies with device§100,000+§Free§0§Everyone§Lifestyle;Education§January 31, 2018§3.13.2§4.1 and up
Chrome Canary (Unstable)§PRODUCTIVITY§4.3§21866§Varies with device§1,000,000+§Free§0§Everyone§Productivity§August 4, 2018§70.0.3512.0§Varies with device
CI MOBI§FAMILY§4.3§108§42M§5,000+§Free§0§Everyone§Education§October 7, 2017§1.2.1§4.0 and up
CJ: Strike Back§GAME§4.3§29330§6.9M§1,000,000+§Free§0§Everyone§Action§August 17, 2012§1.0.9§2.0.1 and up
Gangster City Auto Theft§GAME§4.3§350§67M§50,000+§Free§0§Everyone§Action§July 27, 2018§Varies with device§4.0.3 and up
CK FFXIV Companion§FAMILY§4.3§1364§5.2M§100,000+§Free§0§Everyone§Entertainment§July 12, 2018§4.3.5§2.3 and up
211:CK Lite§GAME§4.3§3§39M§10+§Free§0§Mature 17+§Action§September 22, 2017§1.0§4.1 and up
FlexBook§FAMILY§4.3§104§12M§10,000+§Free§0§Everyone§Education;Education§May 21, 2018§1.0.6§4.1 and up
App for Craigslist Pro - Buy & Sell Postings§LIFESTYLE§4.3§707§5.0M§100,000+§Free§0§Everyone§Lifestyle§May 9, 2018§App copyright§4.1 and up
Postings (Craigslist Search App)§SHOPPING§4.3§151095§12M§5,000,000+§Free§0§Mature 17+§Shopping§July 1, 2018§4.0.13§4.1 and up
m, cm, mm to yard, feet, inch converter tool§TOOLS§4.3§246§2.8M§100,000+§Free§0§Everyone§Tools§February 6, 2018§1.1§4.0 and up
Vintage Flower CM Locker Theme§PERSONALIZATION§4.3§2910§2.3M§500,000+§Free§0§Everyone§Personalization§January 24, 2016§1.0.0§4.0 and up
Ruler & Area Measurement (cm, inch)§TOOLS§4.3§10§8.2M§10,000+§Free§0§Everyone§Tools§July 28, 2017§1.2§4.1 and up
cm, mm to inch, feet converter tool§PRODUCTIVITY§4.3§176§2.3M§100,000+§Free§0§Everyone§Productivity§September 27, 2016§1.1§2.3.3 and up
Card Wars Kingdom§FAMILY§4.3§920571§28M§10,000,000+§Free§0§Everyone 10+§Card;Action & Adventure§January 17, 2017§1.0.10§4.0.3 and up
Wrecker's Revenge - Gumball§FAMILY§4.3§2263§55M§100,000+§Free§0§Everyone§Puzzle;Action & Adventure§September 21, 2017§14.15§4.3 and up
Sky Streaker - Gumball§GAME§4.3§37513§31M§5,000,000+§Free§0§Everyone§Arcade§December 7, 2015§4.0§2.3 and up
Soundtrack Attack§FAMILY§4.3§96045§25M§5,000,000+§Free§0§Everyone§Action;Action & Adventure§July 26, 2016§1.0.4§4.1 and up
Adventure Time Run§GAME§4.3§24628§88M§1,000,000+§Free§0§Everyone§Action§July 26, 2018§1.25.396§4.4 and up
Burrito Bash – We Bare Bears§FAMILY§4.3§10776§21M§1,000,000+§Free§0§Everyone§Arcade;Action & Adventure§October 26, 2017§3.4§4.1 and up
DisneyNOW – TV Shows & Games§FAMILY§4.3§82499§Varies with device§5,000,000+§Free§0§Everyone§Entertainment;Music & Video§July 5, 2018§Varies with device§4.4 and up
Best Park in the Universe§GAME§4.3§3904§5.5M§10,000+§Paid§$2.99§Everyone 10+§Action§September 10, 2014§1.2.1§4.0 and up
Foods Co§SHOPPING§4.3§199§25M§10,000+§Free§0§Everyone§Shopping§August 2, 2018§14.2.1§5.0 and up
VCalendar - VenkatRama and Co§LIFESTYLE§4.3§87§3.9M§10,000+§Free§0§Everyone§Lifestyle§March 16, 2018§1.2§4.1 and up
Websites.co.in Instant Website§BUSINESS§4.3§327§13M§10,000+§Free§0§Everyone§Business§June 25, 2018§1.48§4.1 and up
Hashtags For Likes.co§SOCIAL§4.3§420§18M§50,000+§Free§0§Everyone§Social§December 19, 2016§1.1§4.0.3 and up
CP Dialer§SOCIAL§4.3§64§3.3M§50,000+§Free§0§Teen§Social§March 22, 2018§2.9.0§4.1 and up
Evolution CP & IV Calculator for pokemon§FAMILY§4.3§9465§43M§500,000+§Free§0§Everyone§Entertainment§July 8, 2018§0.4.6§4.4 and up
CP Plus Showcase§BUSINESS§4.3§236§7.0M§50,000+§Free§0§Everyone§Business§March 9, 2018§1.0.4§4.0 and up
iTooch Mathématiques CP§FAMILY§4.3§1018§35M§100,000+§Free§0§Everyone§Education;Education§June 28, 2017§4.6.2§4.0.3 and up
Ditto CP Calculator GO§TOOLS§4.3§34§12M§1,000+§Free§0§Everyone§Tools§February 25, 2018§1.9§4.0.3 and up
CQ Hotels§TRAVEL_AND_LOCAL§4.3§15§14M§10,000+§Free§0§Everyone§Travel & Local§July 6, 2018§5.4.13§4.4 and up
Curio Quest§FAMILY§4.3§59152§50M§1,000,000+§Free§0§Everyone 10+§Role Playing§March 29, 2018§1.14.00§4.0.3 and up
Sabbath School 4§FAMILY§4.3§2871§18M§100,000+§Free§0§Everyone§Education§May 8, 2015§1.6§2.3.3 and up
Clash Soundboard For CR & COC§FAMILY§4.3§13§26M§500+§Free§0§Everyone§Entertainment§January 3, 2018§1.1§4.0.3 and up
CR Calculator§TOOLS§4.3§297§2.8M§50,000+§Free§0§Everyone§Tools§January 27, 2018§2.2§4.0 and up
Helper for Clash Royale (All-in-1)§FAMILY§4.3§6078§37M§500,000+§Free§0§Everyone§Entertainment§November 10, 2017§2.0.0§4.1 and up
CR Fans: Mazos, Clanes y Grupos§FAMILY§4.3§219§4.3M§5,000+§Free§0§Everyone§Entertainment§December 21, 2017§1.0.7§2.3 and up
Chest Tracker for Clash Royale§TOOLS§4.3§77717§14M§5,000,000+§Free§0§Everyone§Tools§December 29, 2016§1.2.0§4.1 and up
Critical Strike CS: Counter Terrorist Online FPS§GAME§4.3§22773§Varies with device§1,000,000+§Free§0§Mature 17+§Action§August 3, 2018§4.84§4.1 and up
CS Interview FAQs§FAMILY§4.3§99§1.1M§10,000+§Free§0§Everyone§Education§February 11, 2013§1.13§2.2 and up
CS16Client§GAME§4.3§8668§9.1M§500,000+§Free§0§Teen§Action§April 1, 2017§1.33§1.5 and up
Counter Attack - Multiplayer FPS§GAME§4.3§112565§32M§1,000,000+§Free§0§Teen§Action§July 21, 2018§1.1.97§4.4 and up
CS Browser Beta§COMMUNICATION§4.3§125§53M§5,000+§Free§0§Everyone§Communication§October 16, 2017§60.0.3112.3046279§4.1 and up
Map Callouts for CS:GO§GAME§4.3§211§3.6M§50,000+§Free§0§Everyone§Action§January 26, 2018§2.1§4.0.3 and up
Case Simulator Hero for CS:GO§FAMILY§4.3§14604§68M§500,000+§Free§0§Teen§Simulation§July 4, 2018§3.1.2§4.2 and up
Puzzle for CS:GO§GAME§4.3§247§18M§10,000+§Free§0§Everyone§Word§September 16, 2016§1.53§4.0.3 and up
Smokes Guide for CS:GO§FAMILY§4.3§445§29M§50,000+§Free§0§Everyone§Entertainment§June 1, 2017§3.0§4.0 and up
CT Abdomen§FAMILY§4.3§7§62M§1,000+§Free§0§Everyone§Education§February 21, 2017§1.0§4.4 and up
CT Sessions§MEDICAL§4.3§62§20M§5,000+§Free§0§Everyone§Medical§December 15, 2014§2.2§2.3 and up
POCKET ATLAS OF CT HEAD§MEDICAL§4.3§22§18M§10,000+§Free§0§Everyone§Medical§March 16, 2018§2.0§4.0.3 and up
CT Scan Cross Sectional Anatomy§MEDICAL§4.3§10§46M§100+§Free§0§Everyone§Medical§July 19, 2018§5.0.16§4.1 and up
CU: UPI Payments, Chat & Call§FINANCE§4.3§693§32M§100,000+§Free§0§Teen§Finance§May 3, 2018§1.0.95§4.2 and up
Commonwealth CU Go Mobile§FINANCE§4.3§231§18M§10,000+§Free§0§Everyone§Finance§September 15, 2017§4.4.47§4.0.3 and up
Family Savings CU Mobile§FINANCE§4.3§323§17M§10,000+§Free§0§Everyone§Finance§September 8, 2017§4.4.47§4.0.3 and up
First Tech Federal CU§FINANCE§4.3§4290§24M§50,000+§Free§0§Everyone§Finance§July 19, 2018§3000.5.3548§5.0 and up
HTC Transfer Tool§TOOLS§4.3§40907§2.6M§5,000,000+§Free§0§Everyone§Tools§July 27, 2017§6.0.932740§2.2 and up
CV Formats 2018§FAMILY§4.3§374§26M§100,000+§Free§0§Everyone§Education§October 9, 2017§1.0§4.0.3 and up
Resume Builder and CV maker app§PRODUCTIVITY§4.3§2303§15M§100,000+§Free§0§Everyone§Productivity§August 2, 2018§8.9.2.pro§4.0.3 and up
Resume Maker - Creator§BUSINESS§4.3§740§19M§50,000+§Free§0§Everyone§Business§August 4, 2018§1.1.2§4.0.3 and up
CV Samples 2018§BUSINESS§4.3§34§26M§10,000+§Free§0§Everyone§Business§October 10, 2017§1.0§4.0.3 and up
Easy Resume Builder, Resume help, Curriculum vitae§TOOLS§4.3§996§10M§50,000+§Free§0§Everyone§Tools§September 28, 2017§2.3§4.0.3 and up
20WPM Amateur ham radio Koch CW Morse code trainer§COMMUNICATION§4.3§12§3.7M§100+§Paid§$1.49§Everyone§Communication§May 22, 2018§3.0.4§2.1 and up
Pocket RxTx Pro§PRODUCTIVITY§4.3§253§Varies with device§5,000+§Paid§$3.99§Everyone§Productivity§March 4, 2018§Varies with device§Varies with device
CX-17WIFI§FAMILY§4.3§49§6.6M§10,000+§Free§0§Everyone§Entertainment§March 21, 2018§2.3§4.3 and up
Math Solver§FAMILY§4.3§2250§30M§100,000+§Free§0§Everyone§Education§November 21, 2017§1.2§4.1 and up
HTC Sense Input - CZ§TOOLS§4.3§87§7.3M§10,000+§Free§0§Everyone§Tools§November 9, 2015§1.0.612933§5.0 and up
Strava.cz§SHOPPING§4.3§2221§Varies with device§100,000+§Free§0§Everyone§Shopping§July 10, 2018§Varies with device§Varies with device
Translate: text & voice translator§TOOLS§4.3§122010§7.3M§5,000,000+§Free§0§Everyone§Tools§July 14, 2018§Translator 10.9.2§4.0.3 and up
COOKING MAMA Let's Cook!§FAMILY§4.3§528917§59M§10,000,000+§Free§0§Everyone§Educational;Pretend Play§July 26, 2018§1.38.0§4.1 and up
dB: Sound Meter Pro§TOOLS§4.3§31§228k§5,000+§Free§0§Everyone§Tools§December 12, 2016§1.0§4.0.3 and up
DB Sound Meter: Measure Noise Level- Decibel Meter§TOOLS§4.3§824§2.8M§10,000+§Free§0§Everyone§Tools§December 13, 2017§1.0.1§4.1 and up
Injustice 2§GAME§4.3§504765§36M§5,000,000+§Free§0§Teen§Action§July 30, 2018§2.4.1§4.4 and up
DC Super Hero Girls™§FAMILY§4.3§43090§95M§5,000,000+§Free§0§Everyone§Action;Action & Adventure§June 29, 2018§2.8.0§4.0 and up
LEGO® DC Mighty Micros§FAMILY§4.3§139545§63M§10,000,000+§Free§0§Everyone§Racing;Action & Adventure§January 30, 2018§1.6.1326§4.1 and up
Justice League Action Run§GAME§4.3§22333§9.7M§1,000,000+§Free§0§Everyone 10+§Action§August 7, 2018§2.01§4.3 and up
MARVEL Contest of Champions§GAME§4.3§2468915§92M§50,000,000+§Free§0§Teen§Action§July 30, 2018§19.1.0§4.0.3 and up
DC Universe Quiz§GAME§4.3§11§23M§500+§Free§0§Everyone§Trivia§May 22, 2018§3.2.7z§4.0.3 and up
MARVEL Strike Force§FAMILY§4.3§166312§91M§5,000,000+§Free§0§Teen§Role Playing§July 31, 2018§1.4.0§4.4 and up
Villains vs Superheroes§FAMILY§4.3§128§22M§10,000+§Free§0§Everyone§Puzzle§September 12, 2017§3.3.3z§4.0.3 and up
Power Rangers: Legacy Wars§GAME§4.3§264755§91M§10,000,000+§Free§0§Teen§Action§July 17, 2018§2.2.1§4.0 and up
McClatchy DC Bureau§NEWS_AND_MAGAZINES§4.3§80§8.7M§5,000+§Free§0§Everyone 10+§News & Magazines§June 18, 2018§6.0.1§4.4W and up
WEB.DE Mail§COMMUNICATION§4.3§226541§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 25, 2018§Varies with device§Varies with device
Babbel – Learn Languages§FAMILY§4.3§267787§21M§10,000,000+§Free§0§Everyone§Education§July 30, 2018§20.7.2§4.4 and up
Offroad Police Car DE§FAMILY§4.3§9149§80M§1,000,000+§Free§0§Everyone§Simulation§March 15, 2017§1.3§2.3.3 and up
Easy Language Translator§TOOLS§4.3§191621§6.1M§10,000,000+§Free§0§Everyone§Tools§May 29, 2018§1.43§4.0 and up
Love Collage - Photo Editor§PHOTOGRAPHY§4.3§251686§31M§10,000,000+§Free§0§Everyone§Photography§July 28, 2017§2.3.8.6§4.1 and up
LINE Camera - Photo editor§PHOTOGRAPHY§4.3§1517395§Varies with device§100,000,000+§Free§0§Everyone§Photography§March 6, 2018§Varies with device§Varies with device
Racing in Car 2§GAME§4.3§234589§38M§50,000,000+§Free§0§Everyone§Racing§November 22, 2016§1.0§2.3.3 and up
DF@realtime§BUSINESS§4.3§24§8.0M§1,000+§Free§0§Everyone§Business§October 26, 2017§6.0.8.2.GM§3.2 and up
DF Night Selfies§PHOTOGRAPHY§4.3§194§1.5M§10,000+§Free§0§Everyone§Photography§February 15, 2018§1.6.0§4.0 and up
Red Transporte DF§MAPS_AND_NAVIGATION§4.3§11100§15M§500,000+§Free§0§Everyone§Maps & Navigation§April 28, 2018§2.10.0 Summer§4.0.3 and up
Fix Error Google Playstore§BOOKS_AND_REFERENCE§4.3§18§5.7M§1,000+§Free§0§Everyone§Books & Reference§July 22, 2017§1.0§4.0 and up
DG Mobile§GAME§4.3§59§1.4M§1,000+§Free§0§Everyone§Board§April 8, 2017§0.1.10.0§2.3 and up
ZombieVital DG§FAMILY§4.3§10§20M§100+§Paid§$12.99§Everyone§Simulation§August 4, 2018§Varies with device§Varies with device
DG Report Reminder§PRODUCTIVITY§4.3§195§Varies with device§10,000+§Free§0§Everyone§Productivity§February 6, 2018§Varies with device§Varies with device
DEER HUNTER RELOADED§GAME§4.3§314774§43M§5,000,000+§Free§0§Teen§Action§September 16, 2013§3.8.2§2.1 and up
Bike Mayhem Free§GAME§4.3§331692§Varies with device§10,000,000+§Free§0§Everyone§Racing§March 27, 2018§Varies with device§4.0.3 and up
The Lost Lands:DH Lite§FAMILY§4.3§1130§48M§50,000+§Free§0§Teen§Simulation§April 3, 2015§1.01§4.2 and up
Kingdom in Chaos§FAMILY§4.3§5623§28M§100,000+§Free§0§Everyone 10+§Role Playing§December 21, 2015§1.0.5§2.3 and up
Dinosaur War§FAMILY§4.3§157997§27M§10,000,000+§Free§0§Everyone§Simulation§August 4, 2016§1.4.4§2.3.3 and up
Bike Unchained§SPORTS§4.3§83545§23M§5,000,000+§Free§0§Everyone§Sports§July 31, 2018§1.193§4.0 and up
Bike 3D Configurator§SPORTS§4.3§34062§85M§1,000,000+§Free§0§Everyone§Sports§April 3, 2018§1.6.7§4.4 and up
Phone Tracker : Family Locator§SOCIAL§4.3§231446§5.4M§10,000,000+§Free§0§Everyone§Social§August 2, 2018§4.81§4.0 and up
Automatic Call Recorder§TOOLS§4.3§1648515§7.1M§100,000,000+§Free§0§Everyone§Tools§August 2, 2018§5.42.1§2.3 and up
Lep's World 3 🍀🍀🍀§GAME§4.3§771001§52M§50,000,000+§Free§0§Everyone 10+§Action§June 11, 2018§2.0.1.3§4.1 and up
Google Sheets§PRODUCTIVITY§4.3§496397§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
3D DJ – Music Mixer with Virtual DJ§FAMILY§4.3§796§28M§100,000+§Free§0§Everyone§Entertainment§July 3, 2018§6.6.8§5.0 and up
LineStar For DK§SPORTS§4.3§1387§14M§50,000+§Free§0§Everyone§Sports§June 6, 2018§3.0.3§4.0.3 and up
GirlTalk.dk§SOCIAL§4.3§3§5.3M§100+§Free§0§Teen§Social§September 22, 2017§3.1.0§4.1 and up
Downloader & Private Browser§TOOLS§4.3§1072565§Varies with device§50,000,000+§Free§0§Everyone§Tools§July 25, 2018§Varies with device§Varies with device
D.L. Evans Bank Mobile Banking§FINANCE§4.3§85§30M§10,000+§Free§0§Everyone§Finance§May 2, 2018§18.1.79§5.0 and up
The DL Hughley Show§FAMILY§4.3§23§11M§5,000+§Free§0§Everyone§Entertainment§May 29, 2018§3.1.2§5.0 and up
Insave-Download for Instagram§PHOTOGRAPHY§4.3§46242§5.2M§1,000,000+§Free§0§Everyone§Photography§September 20, 2016§2.1.3§4.0 and up
AndStream - Streaming Download§VIDEO_PLAYERS§4.3§38607§2.9M§1,000,000+§Free§0§Everyone§Video Players & Editors§March 19, 2017§3.1.8§2.3 and up
Convert Coordinates DM to DMS§MAPS_AND_NAVIGATION§4.3§15§164k§5,000+§Free§0§Everyone§Maps & Navigation§February 3, 2013§1.6§2.2 and up
MultiPicture Live Wallpaper dn§PERSONALIZATION§4.3§505§288k§10,000+§Paid§$1.99§Everyone§Personalization§February 10, 2013§0.6.11§2.1 and up
WFVS 2018 | WhatApp Full Video Status & Downloader§PRODUCTIVITY§4.3§596§22M§50,000+§Free§0§Everyone§Productivity§July 4, 2018§1.3§4.1 and up
Google Docs§PRODUCTIVITY§4.3§815974§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
PDF Reader - Scan、Edit & Share§BUSINESS§4.3§54520§Varies with device§10,000,000+§Free§0§Everyone§Business§July 30, 2018§3.12.4§Varies with device
Notepad & To do list§PRODUCTIVITY§4.3§226295§4.2M§10,000,000+§Free§0§Everyone§Productivity§June 6, 2018§4.3.19§2.3.3 and up
Polaris Office - Word, Docs, Sheets, Slide, PDF§PRODUCTIVITY§4.3§549900§60M§10,000,000+§Free§0§Everyone§Productivity§July 18, 2018§7.3.30§4.1 and up
Do it (Tomorrow)§PRODUCTIVITY§4.3§26452§4.0M§1,000,000+§Free§0§Everyone§Productivity§November 3, 2014§2.3.5§2.1 and up
Do Not Disturb§PRODUCTIVITY§4.3§6120§1.9M§100,000+§Free§0§Everyone§Productivity§November 22, 2017§2.10.1§6.0 and up
2Do - Reminders, To-do List & Notes§PRODUCTIVITY§4.3§4649§30M§100,000+§Free§0§Everyone§Productivity§June 19, 2018§2.8.12§5.0 and up
MyLifeOrganized: To-Do List§PRODUCTIVITY§4.3§4441§Varies with device§100,000+§Free§0§Everyone§Productivity§June 18, 2018§Varies with device§Varies with device
EasyNote Notepad | To Do List§TOOLS§4.3§15618§2.4M§1,000,000+§Free§0§Everyone§Tools§November 27, 2017§1.5.2§2.3 and up
Apex Launcher§PERSONALIZATION§4.3§266434§Varies with device§10,000,000+§Free§0§Everyone§Personalization§August 4, 2018§Varies with device§Varies with device
Adobe Fill & Sign: Easy PDF Form Filler§PRODUCTIVITY§4.3§11402§5.3M§1,000,000+§Free§0§Everyone§Productivity§November 7, 2017§1.3.0§5.0 and up
All Type DP§FAMILY§4.3§1853§5.8M§500,000+§Free§0§Everyone§Entertainment§May 10, 2018§1.8§4.0 and up
DP Editor§PHOTOGRAPHY§4.3§18§15M§5,000+§Free§0§Teen§Photography§August 4, 2018§1.5§4.1 and up
DP & Status§FAMILY§4.3§1922§4.7M§500,000+§Free§0§Everyone§Entertainment§January 9, 2018§1.13§4.1 and up
Download Instant DP (Full HD)§TOOLS§4.3§1283§4.4M§100,000+§Free§0§Everyone§Tools§August 4, 2018§4.1.0§4.1 and up
Dp For Whatsapp§SOCIAL§4.3§39§12M§5,000+§Free§0§Everyone§Social§April 13, 2017§1.0§4.0.3 and up
Profile Pictures and DP for Whatsapp§SOCIAL§4.3§48§11M§5,000+§Free§0§Everyone§Social§May 12, 2017§1.3§4.0.3 and up
Marathi DP - status and message,jokes,Video app§FAMILY§4.3§694§3.8M§100,000+§Free§0§Everyone§Entertainment§August 1, 2018§1.6§4.2 and up
Profile Pictures - Best DP Status§FAMILY§4.3§131§5.4M§50,000+§Free§0§Everyone§Entertainment§November 29, 2017§1.2.1§4.1 and up
Name Art DP - Focus n Filter Text 2018§ART_AND_DESIGN§4.3§132§7.7M§10,000+§Free§0§Everyone§Art & Design§January 4, 2018§1§4.1 and up
Dash Quest Heroes§GAME§4.3§8432§59M§500,000+§Free§0§Everyone 10+§Adventure§July 16, 2018§1.4.0§4.1 and up
